"id","name","referralId","hasPerk","location.address","location.crossStreet","location.lat","location.lng","location.labeledLatLngs","location.distance","location.postalCode","location.cc","location.neighborhood","location.city","location.state","location.country","venuePage.id","delivery.id","delivery.url","delivery.provider.name","delivery.provider.icon.prefix","delivery.provider.icon.sizes","delivery.provider.icon.name","pluralName","shortName","icon","primary"
4bfddba0b68d0f47797ce957,Parker's Restaurant,v-1525633885,FALSE,60 School St,Tremont St,42.3578209535599,-71.0597948671766,list(label = "display", lat = 42.3578209535599, lng = -71.0597948671766),128,02108,US,Downtown Boston, Boston, MA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
4ae310cef964a520399021e3,Great Taste Bakery & Restaurant,v-1525633885,FALSE,31 Beach St,NA,42.3512906781393,-71.0601654957231,list(label = "display", lat = 42.3512906781393, lng = -71.0601654957231),845,02111,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Bakeries,Bakery,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/bakery_", suffix = ".png"),TRUE
4c91546ab641236ab6a68079,Q Restaurant,v-1525633885,FALSE,660 Washington St,at Beach St.,42.3517066295326,-71.062715247796,list(label = "display", lat = 42.3517066295326, lng = -71.062715247796),849,02111,US,NA,Boston,MA,United States,466191906,NA,NA,NA,NA,NULL,NA,Hotpot Restaurants,Hotpot,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4aa91a1af964a520fe5120e3,Primo's Restaurant,v-1525633885,FALSE,28 Myrtle St,NA,42.3593237399603,-71.0655827926918,list(label = "display", lat = 42.3593237399603, lng = -71.0655827926918),539,02114,US,NA,Boston,MA,United States,NA,55345,https://www.grubhub.com/restaurant/primos-pizza-28-myrtle-st-beacon-hill/55345?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=55345,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Pizza Places,Pizza,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/pizza_", suffix = ".png"),TRUE
4bb21286f964a52094b63ce3,Moon Villa Restaurant,v-1525633885,FALSE,19 Edinboro St,Near Beach St.,42.3518835471294,-71.059554212224,list(label = "display", lat = 42.3518835471294, lng = -71.059554212224),775,02111,US,NA,Boston,MA,United States,NA,559914,https://www.grubhub.com/restaurant/moon-villa-restaurant-19-edinboro-st-boston/559914?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=559914,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4b08321cf964a520ff0523e3,New Jumbo Seafood Restaurant,v-1525633885,FALSE,5 Hudson St,NA,42.3509021593608,-71.0598952290317,list(label = "display", lat = 42.3509021593608, lng = -71.0598952290317),886,02111,US,NA,Boston,MA,United States,NA,328037,https://www.grubhub.com/restaurant/new-jumbo-seafood-5-hudson-street-boston/328037?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=328037,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4a04e5aff964a5203e721fe3,Montien Boston - Thai Restaurant,v-1525633885,FALSE,63 Stuart St,Tremont St,42.3510941602041,-71.0644977068821,list(label = "display", lat = 42.3510941602041, lng = -71.0644977068821),971,02116,US,NA,Boston,MA,United States,45938603,74700,https://www.grubhub.com/restaurant/montien-thai-restaurant-63-stuart-st-boston/74700?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=74700,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Thai Restaurants,Thai,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/thai_", suffix = ".png"),TRUE
4b1afebdf964a5200cf623e3,Billy Tse's Restaurant,v-1525633885,FALSE,240 Commercial St,NA,42.3638316360847,-71.0511147137643,list(label = "display", lat = 42.3638316360847, lng = -71.0511147137643),857,02109,US,NA,Boston,MA,United States,52131703,317519,https://www.grubhub.com/restaurant/billy-tse-240-commercial-street-boston/317519?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=317519,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Sushi Restaurants,Sushi,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/sushi_", suffix = ".png"),TRUE
4b9011b7f964a520a87333e3,No Name Restaurant,v-1525633885,FALSE,15 Fish Pier St W,NA,42.3503840291564,-71.0383210433848,list(label = "display", lat = 42.3503840291564, lng = -71.0383210433848),1947,02210,US,NA,Boston,MA,United States,94436668,NA,NA,NA,NA,NULL,NA,Seafood Restaurants,Seafood,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/seafood_", suffix = ".png"),TRUE
518564e8498e25e8f94c2679,Carrie Nation Restaurant and Cocktail Club,v-1525633885,FALSE,11 Beacon St,at Somerset St,42.358315646667,-71.0614581344728,list(label = "display", lat = 42.358315646667, lng = -71.0614581344728),206,02108,US,NA,Boston,MA,United States,63759699,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
5723dff7498e3ca50f74cdff,Joy Luck Hot Pot Restaurant,v-1525633885,FALSE,702 Washington St,NA,42.3509645602024,-71.0628140824694,list(label = "display", lat = 42.3509645602024, lng = -71.0628140824694),929,02111,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Restaurants,Restaurant,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
